,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
47049461,13013A00-,0,HERSELT-CENTRUM,HERSELT-CENTRUM,HERSELT-CENTRUM,TOTAL,TOTAL,11.0,365000.0,365000.0,365000.0,36.0,280.5,386.5
47049468,13013A01-,0,VEST - OLLEMANSHOEK,VEST - OLLEMANSHOEK,VEST - OLLEMANSHOEK,VENTEIMMEUB,TOTAL,8.0,300000.0,305000.0,355000.0,626.0,760.0,1003.0
47049470,13013A01-,0,VEST - OLLEMANSHOEK,VEST - OLLEMANSHOEK,VEST - OLLEMANSHOEK,TOTAL,TOTAL,12.0,235000.0,305000.0,385000.0,626.0,760.0,1003.0
47049479,13013A02-,0,VARENWINKEL,VARENWINKEL,VARENWINKEL,TOTAL,TOTAL,15.0,93000.0,216000.0,339000.0,791.0,1501.0,6145.0
47049506,13013A083,0,LANGDONKEN,LANGDONKEN,LANGDONKEN,TOTAL,TOTAL,5.0,3342.0,12171.0,21000.0,936.0,1290.0,3059.0
47049513,13013A091,0,RAEMBROEK -ASBROEK-DRY EYKEN - MOLEN,RAEMBROEK -ASBROEK-DRY EYKEN - M,RAEMBROEK -ASBROEK-DRY EYKEN - MOLENVLOED -HOOILAAR,VENTEIMMEUB,TOTAL,14.0,21000.0,30000.0,300000.0,2441.0,3195.0,3580.0
47049515,13013A091,0,RAEMBROEK -ASBROEK-DRY EYKEN - MOLEN,RAEMBROEK -ASBROEK-DRY EYKEN - M,RAEMBROEK -ASBROEK-DRY EYKEN - MOLENVLOED -HOOILAAR,TOTAL,TOTAL,22.0,21000.0,34062.5,70000.0,1839.0,3195.0,4155.0
47049519,13013A100,0,BERGOM,BERGOM,BERGOM,OTHER,TOTAL,5.0,75000.0,75000.0,75000.0,211.0,777.0,1030.0
47049522,13013A100,0,BERGOM,BERGOM,BERGOM,VENTEIMMEUB,TOTAL,7.0,50000.0,280000.0,527000.0,588.0,830.0,1310.0
47049524,13013A100,0,BERGOM,BERGOM,BERGOM,TOTAL,TOTAL,21.0,77000.0,113750.0,260000.0,600.0,824.0,1045.0
47049549,13013A200,0,BLAUWBERG - WEZEL,BLAUWBERG - WEZEL,BLAUWBERG - WEZEL,VENTEIMMEUB,TOTAL,8.0,136000.0,215500.0,295000.0,738.0,1699.5,4998.5
47049551,13013A200,0,BLAUWBERG - WEZEL,BLAUWBERG - WEZEL,BLAUWBERG - WEZEL,TOTAL,TOTAL,15.0,136000.0,189000.0,295000.0,800.0,979.0,2529.0
47049558,13013A290,0,HELSCHOT - VISPOEL - SCHRIEKEN,HELSCHOT - VISPOEL - SCHRIEKEN,HELSCHOT - VISPOEL - SCHRIEKEN,VENTEIMMEUB,TOTAL,7.0,18500.0,35000.0,97500.0,775.0,848.0,1154.0
47049560,13013A290,0,HELSCHOT - VISPOEL - SCHRIEKEN,HELSCHOT - VISPOEL - SCHRIEKEN,HELSCHOT - VISPOEL - SCHRIEKEN,TOTAL,TOTAL,9.0,18500.0,35000.0,97500.0,775.0,848.0,1154.0
47049569,13013B00-,0,RAMSEL-KERN,RAMSEL-KERN,RAMSEL-KERN,TOTAL,TOTAL,7.0,270000.0,389500.0,432000.0,526.5,1023.5,1422.5
47049576,13013B02-,0,RAMSEL-WEST,RAMSEL-WEST,RAMSEL-WEST,VENTEIMMEUB,TOTAL,6.0,439000.0,439000.0,439000.0,577.0,786.0,2100.0
47049578,13013B02-,0,RAMSEL-WEST,RAMSEL-WEST,RAMSEL-WEST,TOTAL,TOTAL,12.0,439000.0,439000.0,439000.0,240.0,618.5,1559.0
47049585,13013B08-,0,RAMSELSE BERG,RAMSELSE BERG,RAMSELSE BERG,VENTEIMMEUB,TOTAL,5.0,270000.0,312000.0,347000.0,621.0,784.0,910.0
47049587,13013B08-,0,RAMSELSE BERG,RAMSELSE BERG,RAMSELSE BERG,TOTAL,TOTAL,7.0,270000.0,312000.0,347000.0,621.0,910.0,1125.0
47049605,13013B0PA,0,TRUYTSEINDE-MADESTR-VOSDONKEN,TRUYTSEINDE-MADESTR-VOSDONKEN,TRUYTSEINDE-MADESTR-VOSDONKEN,TOTAL,TOTAL,8.0,3000.0,21500.0,40000.0,826.0,1058.0,2934.0
47049612,13014A00-,0,VRIJHEID,VRIJHEID,VRIJHEID,VENTEIMMEUB,TOTAL,5.0,317500.0,317500.0,317500.0,41.0,41.0,41.0
47049614,13014A00-,0,VRIJHEID,VRIJHEID,VRIJHEID,TOTAL,TOTAL,10.0,317500.0,393750.0,470000.0,364.0,1055.0,15345.5
47049621,13014A01-,0,VAN AERTSELAAR,VAN AERTSELAAR,VAN AERTSELAAR,VENTEIMMEUB,TOTAL,16.0,31500.0,270000.0,315000.0,178.0,186.0,237.0
47049623,13014A01-,0,VAN AERTSELAAR,VAN AERTSELAAR,VAN AERTSELAAR,TOTAL,TOTAL,23.0,31500.0,285000.0,320000.0,180.5,213.0,694.0
47049632,13014A02-,0,KOLONIE - DE DIJK,KOLONIE - DE DIJK,KOLONIE - DE DIJK,TOTAL,TOTAL,44.0,228000.0,378000.0,571250.0,342.0,1324.0,3155.0
47049641,13014A03-,0,MEREN,MEREN,MEREN,TOTAL,TOTAL,5.0,385000.0,442500.0,500000.0,452.0,694.0,2319.0
47049650,13014A042,0,GROENWOUD,GROENWOUD,GROENWOUD,TOTAL,TOTAL,17.0,64666.67,244400.0,450000.0,739.0,900.0,1105.0
47049653,13014A053,0,DORPSLOOP,DORPSLOOP,DORPSLOOP,DONATIMMEUB,TOTAL,5.0,275000.0,275000.0,275000.0,243.5,493.5,575.0
47049659,13014A053,0,DORPSLOOP,DORPSLOOP,DORPSLOOP,TOTAL,TOTAL,8.0,275000.0,275000.0,275000.0,79.0,493.5,631.0
47049668,13014A084,0,MARK - BOSLOOP,MARK - BOSLOOP,MARK - BOSLOOP,TOTAL,TOTAL,11.0,425000.0,450000.0,475000.0,670.0,4220.5,6495.0
47049686,13014A0PA,0,MUZEMENTEN,MUZEMENTEN,MUZEMENTEN,TOTAL,TOTAL,12.0,165000.0,165000.0,165000.0,1720.0,10319.5,14902.0
47049693,13014B00-,0,MINDERHOUT-DORP,MINDERHOUT-DORP,MINDERHOUT-DORP,VENTEIMMEUB,TOTAL,13.0,297500.0,305000.0,347736.5,369.0,512.0,748.0
47049695,13014B00-,0,MINDERHOUT-DORP,MINDERHOUT-DORP,MINDERHOUT-DORP,TOTAL,TOTAL,19.0,295000.0,305000.0,325473.0,370.0,568.0,842.0
47049704,13014B012,0,BEEMDEN,BEEMDEN,BEEMDEN,TOTAL,TOTAL,6.0,26459.5,385000.0,450000.0,358.0,369.5,555.0
47049713,13014B091,0,AARD,AARD,AARD,TOTAL,TOTAL,6.0,6253.0,39426.5,72600.0,1392.0,5865.5,10800.0
47049722,13014B19-,0,BERGEN - HAL - HEERLE,BERGEN - HAL - HEERLE,BERGEN - HAL - HEERLE,TOTAL,TOTAL,8.0,85050.0,205025.0,325000.0,653.0,2819.0,5614.5
47049729,13014C00-,0,MEER-DORP,MEER-DORP,MEER-DORP,VENTEIMMEUB,TOTAL,6.0,11500.0,333750.0,445000.0,395.0,688.0,867.0
47049731,13014C00-,0,MEER-DORP,MEER-DORP,MEER-DORP,TOTAL,TOTAL,9.0,143250.0,304375.0,389375.0,248.0,476.0,834.0
47049740,13014C01-,0,EINDMEER,EINDMEER,EINDMEER,TOTAL,TOTAL,6.0,91464.0,91464.0,91464.0,700.0,835.0,1348.0
47049758,13014C041,0,GESTEL,GESTEL,GESTEL,TOTAL,TOTAL,7.0,460000.0,460000.0,460000.0,732.0,2179.0,5545.0
47049776,13014C08-,0,MOERKENS,MOERKENS,MOERKENS,TOTAL,TOTAL,5.0,13200.0,13200.0,13200.0,2577.0,3432.0,4965.0
47049792,13014C0PA,0,BLAUWPUTTEN - VAALMOER - RAMEN,BLAUWPUTTEN - VAALMOER - RAMEN,BLAUWPUTTEN - VAALMOER - RAMEN,VENTEIMMEUB,TOTAL,9.0,3500.0,3500.0,3500.0,2500.0,3766.0,11040.0
47049794,13014C0PA,0,BLAUWPUTTEN - VAALMOER - RAMEN,BLAUWPUTTEN - VAALMOER - RAMEN,BLAUWPUTTEN - VAALMOER - RAMEN,TOTAL,TOTAL,15.0,3500.0,20057.41,36614.82,2500.0,7652.0,12025.0
47049812,13014C191,0,HEIEINDE -MAAIHOEK -DE MOSTEN,HEIEINDE -MAAIHOEK -DE MOSTEN,HEIEINDE -MAAIHOEK -DE MOSTEN,TOTAL,TOTAL,5.0,35400.0,35400.0,35400.0,1201.0,1201.0,21780.0
47049846,13014D00-,0,MEERLE-DORP,MEERLE-DORP,MEERLE-DORP,VENTEIMMEUB,TOTAL,9.0,385000.0,450000.0,603000.0,528.0,722.0,971.0
47049848,13014D00-,0,MEERLE-DORP,MEERLE-DORP,MEERLE-DORP,TOTAL,TOTAL,21.0,267500.0,417500.0,526500.0,479.0,704.5,985.5
47049920,13014E001,0,WORTEL-DORP,WORTEL-DORP,WORTEL-DORP,TOTAL,TOTAL,8.0,165000.0,242500.0,320000.0,501.5,768.0,1367.0
47049938,13014E090,0,WORTEL-VERSPREIDE BEWONING,WORTEL-VERSPREIDE BEWONING,WORTEL-VERSPREIDE BEWONING,TOTAL,TOTAL,26.0,195000.0,195000.0,195000.0,2225.0,4205.0,6550.0
47049959,13016A000,0,HULSHOUT-KERN,HULSHOUT-KERN,HULSHOUT-KERN,DONATIMMEUB,TOTAL,7.0,285000.0,285000.0,285000.0,335.0,515.0,705.0
